session_id,state_sequence,simulation_time_s,visual_component_name,root_bone_name,actor_x_world_cm,actor_y_world_cm,actor_z_world_cm,visual_component_x_world_cm,visual_component_y_world_cm,visual_component_z_world_cm,animation_root_x_world_cm,animation_root_y_world_cm,animation_root_z_world_cm,actor_to_root_x_world_cm,actor_to_root_y_world_cm,actor_to_root_z_world_cm
7C88DBC1E840,79,4.226000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,80,4.276000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,81,4.323000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,82,4.376000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,83,4.431000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,84,4.479000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,85,4.538000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,86,4.587000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,87,4.644000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,88,4.692000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,89,4.743000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,90,4.798000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,91,4.854000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,92,4.910000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,93,4.964000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,94,5.019000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,95,5.077000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,96,5.130000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,97,5.179000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,98,5.234000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,99,5.294000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,100,5.348000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,101,5.398000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,102,5.456000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,103,5.512000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,104,5.560000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,105,5.612000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,106,5.666000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,107,5.720000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,108,5.771000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,109,5.821000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,110,5.877000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,111,5.927000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,112,5.981000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,113,6.032000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,114,6.084000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,115,6.136000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,116,6.187000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,117,6.242000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,118,6.298000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,119,6.349000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,120,6.405000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,121,6.465000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,122,6.517000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,123,6.568000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,124,6.668000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,125,6.692000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,126,6.714000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,127,6.771000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,128,6.828000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,129,6.880000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,130,6.938000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,131,6.983000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,132,7.030000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,133,7.078000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,134,7.127000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,135,7.180000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,136,7.235000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,137,7.279000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,138,7.333000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,139,7.392000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,140,7.440000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,141,7.496000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,142,7.542000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,143,7.598000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,144,7.647000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
7C88DBC1E840,145,7.695000,SkeletalMesh,root,-800.000000,0.000000,90.000000,-800.000000,0.000000,2.000000,-800.000000,0.000000,2.000000,0.000000,0.000000,-88.000000
