start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,collision_step_count,external_perturbation_step_count,perturbation_relation,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
62,122,1.5,1.5100000000000002,61,0,0,0,post_event,1.1421468312715775e-05,0.0,0.0,0.0
63,84,0.5,0.5070000000000001,22,0,0,0,post_event,4.363218345008787e-06,0.0,0.0,0.0
63,105,1.0,1.009,43,0,0,0,post_event,8.323935595294932e-06,0.0,0.0,0.0
63,123,1.5,1.5120000000000005,61,0,0,0,post_event,1.1471057353440806e-05,0.0,0.0,0.0
64,85,0.5,0.516,22,0,0,0,post_event,4.305070710701111e-06,0.0,0.0,0.0
64,106,1.0,1.008,43,0,0,0,post_event,8.299319546875964e-06,0.0,0.0,0.0
64,124,1.5,1.5130000000000003,61,0,0,0,post_event,1.1216219716592308e-05,0.0,0.0,0.0
65,86,0.5,0.5250000000000004,22,0,0,0,post_event,4.247033508254466e-06,2.842170943040401e-14,0.0,0.0
65,107,1.0,1.008,43,0,0,0,post_event,8.299385916697397e-06,0.0,0.0,0.0
65,125,1.5,1.5110000000000001,61,0,0,0,post_event,1.1167109378368088e-05,0.0,0.0,0.0
66,86,0.5,0.5020000000000002,21,0,0,0,post_event,3.960915991941725e-06,2.842170943040401e-14,0.0,0.0
66,108,1.0,1.0110000000000001,43,0,0,0,post_event,8.09373543462565e-06,0.0,0.0,0.0
66,126,1.5,1.504,61,0,0,0,post_event,1.0994987067236847e-05,0.0,0.0,0.0
67,87,0.5,0.512,21,0,0,0,post_event,4.206811831276796e-06,0.0,0.0,0.0
67,109,1.0,1.0139999999999998,43,0,0,0,post_event,8.167520471278755e-06,0.0,0.0,0.0
67,127,1.5,1.5050000000000003,61,0,0,0,post_event,1.1019597120887496e-05,0.0,0.0,0.0
68,88,0.5,0.5169999999999999,21,0,0,0,post_event,4.050374409206364e-06,0.0,0.0,0.0
68,110,1.0,1.029,43,0,0,0,post_event,7.977550410246227e-06,0.0,0.0,0.0
68,128,1.5,1.505,61,0,0,0,post_event,1.1019615293991656e-05,0.0,0.0,0.0
69,89,0.5,0.5150000000000001,21,0,0,0,post_event,4.001099630740511e-06,0.0,0.0,0.0
69,110,1.0,1.008,42,0,0,0,post_event,7.740536431912405e-06,0.0,0.0,0.0
69,129,1.5,1.5099999999999998,61,0,0,0,post_event,1.0863071775051071e-05,0.0,0.0,0.0
70,90,0.5,0.5140000000000002,21,0,0,0,post_event,3.976451015612216e-06,0.0,0.0,0.0
70,111,1.0,1.0220000000000002,42,0,0,0,post_event,7.525904434596763e-06,0.0,0.0,0.0
70,130,1.5,1.5270000000000001,61,0,0,0,post_event,1.1001599077496746e-05,0.0,0.0,0.0
71,91,0.5,0.512,21,0,0,0,post_event,3.927232798127748e-06,0.0,0.0,0.0
71,112,1.0,1.0219999999999998,42,0,0,0,post_event,7.525862714308872e-06,0.0,0.0,0.0
71,130,1.5,1.501,60,0,0,0,post_event,1.0921092000420948e-05,0.0,0.0,0.0
72,92,0.5,0.5089999999999999,21,0,0,0,post_event,3.853449186370309e-06,0.0,0.0,0.0
72,112,1.0,1.001,41,0,0,0,post_event,7.288911948364288e-06,0.0,0.0,0.0
72,131,1.5,1.5299999999999998,60,0,0,0,post_event,1.0795900136237919e-05,0.0,0.0,0.0
73,93,0.5,0.5090000000000003,21,0,0,0,post_event,3.8534516444415404e-06,0.0,0.0,0.0
73,114,1.0,1.0140000000000002,42,0,0,0,post_event,7.329147462351193e-06,0.0,0.0,0.0
73,131,1.5,1.508,59,0,0,0,post_event,1.0534387182927942e-05,0.0,0.0,0.0
74,94,0.5,0.508,21,0,0,0,post_event,3.828854690937251e-06,0.0,0.0,0.0
74,115,1.0,1.012,42,0,0,0,post_event,7.27996365592152e-06,0.0,0.0,0.0
74,132,1.5,1.5139999999999998,59,0,0,0,post_event,1.040250197218514e-05,0.0,0.0,0.0
75,95,0.5,0.5060000000000002,21,0,0,0,post_event,3.779680413705723e-06,0.0,0.0,0.0
75,116,1.0,1.0070000000000001,42,0,0,0,post_event,7.157028620321948e-06,0.0,0.0,0.0
76,96,0.5,0.5049999999999999,21,0,0,0,post_event,3.7550931330059117e-06,0.0,0.0,0.0
76,117,1.0,1.0110000000000001,42,0,0,0,post_event,6.975979090688919e-06,0.0,0.0,0.0
77,97,0.5,0.5049999999999999,21,0,0,0,post_event,3.7550929620572666e-06,0.0,0.0,0.0
77,118,1.0,1.028,42,0,0,0,post_event,7.114559764509423e-06,0.0,0.0,0.0
78,98,0.5,0.5129999999999999,21,0,0,0,post_event,3.6723917563284166e-06,0.0,0.0,0.0
78,118,1.0,1.0060000000000002,41,0,0,0,post_event,6.853044567540397e-06,0.0,0.0,0.0
79,99,0.5,0.52,21,0,0,0,post_event,3.56510304309031e-06,0.0,0.0,0.0
79,119,1.0,1.0239999999999996,41,0,0,0,post_event,6.736815294108548e-06,0.0,0.0,0.0
80,100,0.5,0.5209999999999999,21,0,0,0,post_event,3.5896900386699118e-06,0.0,0.0,0.0
80,119,1.0,0.9999999999999996,40,0,0,0,post_event,6.705522935198305e-06,0.0,0.0,0.0
81,101,0.5,0.516,21,0,0,0,post_event,3.7461518900272495e-06,0.0,0.0,0.0
81,120,1.0,1.0100000000000002,40,0,0,0,post_event,6.951391640086513e-06,0.0,0.0,0.0
82,102,0.5,0.5129999999999999,21,0,0,0,post_event,3.67239113074902e-06,0.0,0.0,0.0
82,121,1.0,1.0189999999999997,40,0,0,0,post_event,7.172673974764621e-06,0.0,0.0,0.0
83,103,0.5,0.5100000000000002,21,0,0,0,post_event,3.878027143855434e-06,0.0,0.0,0.0
83,122,1.0,1.0220000000000002,40,0,0,0,post_event,7.2464346771994315e-06,0.0,0.0,0.0
84,104,0.5,0.5069999999999997,21,0,0,0,post_event,3.804266441420623e-06,0.0,0.0,0.0
84,122,1.0,1.0,39,0,0,0,post_event,6.984919309616089e-06,0.0,0.0,0.0
85,105,0.5,0.5019999999999998,21,0,0,0,post_event,3.960728633956023e-06,0.0,0.0,0.0
85,123,1.0,1.0050000000000003,39,0,0,0,post_event,7.107853832621913e-06,0.0,0.0,0.0
86,107,0.5,0.5139999999999998,22,0,0,0,post_event,4.255771671068942e-06,0.0,0.0,0.0
86,125,1.0,1.017,40,0,0,0,post_event,7.123500097350188e-06,0.0,0.0,0.0
87,108,0.5,0.5089999999999999,22,0,0,0,post_event,4.132837091219699e-06,0.0,0.0,0.0
87,126,1.0,1.0019999999999998,40,0,0,0,post_event,7.034093187030521e-06,0.0,0.0,0.0
88,109,0.5,0.5019999999999998,22,0,0,0,post_event,3.960728690799442e-06,0.0,0.0,0.0
88,128,1.0,1.013,41,0,0,0,post_event,7.025152456208161e-06,0.0,0.0,0.0
89,110,0.5,0.512,22,0,0,0,post_event,3.927201078113285e-06,0.0,0.0,0.0
89,129,1.0,1.0139999999999998,41,0,0,0,post_event,7.0497393949153775e-06,0.0,0.0,0.0
90,111,0.5,0.528,22,0,0,0,post_event,3.7617982115989435e-06,0.0,0.0,0.0
90,130,1.0,1.033,41,0,0,0,post_event,7.23749400322049e-06,0.0,0.0,0.0
91,111,0.5,0.508,21,0,0,0,post_event,3.5494566645866144e-06,0.0,0.0,0.0
91,130,1.0,1.013,40,0,0,0,post_event,7.025152456208161e-06,0.0,0.0,0.0
92,112,0.5,0.5099999999999998,21,0,0,0,post_event,3.5986305420010467e-06,0.0,0.0,0.0
92,131,1.0,1.0389999999999997,40,0,0,0,post_event,7.105618749392306e-06,0.0,0.0,0.0
93,113,0.5,0.5100000000000002,21,0,0,0,post_event,3.598630485157628e-06,0.0,0.0,0.0
