episode_id,model,start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,parameter_change_count,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
5201,nominal,50,65,0.5,0.5140000000000002,16,1,3,2.4360912164233743e-06,7.079160717944644e-07,5.004901784857576,181.30056025260177
5201,nominal,50,83,1.0,1.0150000000000001,34,2,8,8.332431092645604e-08,1.969297334181145e-06,49.310790585961435,586.4412324005315
5201,nominal,50,102,1.5,1.524,53,3,13,0.2544304911161561,7.485962661515882,57.273317765038776,242.45122100781174
5201,nominal,51,66,0.5,0.508,16,1,2,2.418504034504929e-06,1.2511940609430859e-06,10.621893175741326,299.4063247860316
5201,nominal,51,84,1.0,1.0110000000000001,34,2,7,2.1852198213527547e-07,3.3476120827728175e-06,66.69247740782754,707.299626569006
5201,nominal,51,103,1.5,1.5229999999999997,53,3,12,0.6740097304781375,16.137660844976335,52.954660036269615,225.29457433765168
5201,nominal,52,67,0.5,0.532,16,1,1,2.0976255764991714e-06,6.781765059301886e-06,27.04945923679094,361.6905644329164
5201,nominal,52,85,1.0,1.0149999999999997,34,2,7,2.7527719849078414e-07,7.958700438054507e-06,87.36322117567761,725.5237212477703
5201,nominal,52,103,1.5,1.4999999999999996,52,3,11,0.6740098074808933,16.137660844976338,54.76190923682468,227.36735375393818
5201,nominal,53,68,0.5,0.5270000000000001,16,1,2,1.5732390108532911e-06,9.58979791941513e-06,34.81473189384019,267.76804010350367
5201,nominal,53,86,1.0,1.008,34,2,8,4.328798652770753e-07,1.1495917744711792e-05,106.6569419409056,714.5822486613163
5201,nominal,53,105,1.5,1.5210000000000004,53,3,11,2.6273051040737565,42.72283476426974,43.91643207534612,187.2698314302769
5201,nominal,54,69,0.5,0.5060000000000002,16,1,3,1.0278364598355128e-06,6.183326519279079e-06,40.19415052486306,173.5296332893377
5201,nominal,54,88,1.0,1.0110000000000001,35,2,10,8.084418671187089e-07,1.5527425600041072e-05,143.7271791940798,658.5238665147949
5201,nominal,54,107,1.5,1.5280000000000005,54,3,11,6.224349174677451,65.40820106792832,34.59814026298733,148.69051820035773
5201,nominal,55,70,0.5,0.5070000000000001,16,1,4,5.13122656937576e-07,2.3125325473792043e-06,43.320355481732165,94.73351861564998
5201,nominal,55,89,1.0,1.0060000000000002,35,2,10,1.0272688471833143e-06,1.684568995808512e-05,160.60395536220562,625.0657849346582
5201,nominal,55,108,1.5,1.524,54,3,11,8.16079999555131,69.15894780132426,30.8803850428904,132.7769723657368
5201,nominal,56,71,0.5,0.5129999999999999,16,1,5,9.397709960596688e-08,5.874954581486758e-06,44.28427391423804,22.416697234885362
5201,nominal,56,91,1.0,1.0250000000000004,36,2,10,1.8109904144637688e-06,1.8333344554793075e-05,167.48559123987025,551.1804066012122
5201,nominal,56,109,1.5,1.5270000000000001,54,3,11,10.874763972301565,67.84909803969411,26.374888080660803,112.63742216174325
5201,nominal,57,72,0.5,0.5219999999999998,16,1,5,2.1776745300057984e-07,3.577439130708753e-06,43.87609708872641,13.166989146810238
5201,nominal,57,91,1.0,1.0030000000000001,35,2,10,1.7404350119990876e-06,1.8333344548366375e-05,167.48559132056937,551.1804069094411
5201,nominal,57,109,1.5,1.505,53,3,11,10.874764073586139,67.84909803969411,26.374888093140537,112.63742221114931
5201,nominal,58,73,0.5,0.5180000000000002,16,1,5,3.966686160138705e-07,4.01352444612286e-06,43.16975573304232,32.10641846827784
5201,nominal,58,92,1.0,1.005,35,2,10,2.2316665510906703e-06,1.8095400075498482e-05,153.09708440886982,513.8752455528294
5201,nominal,58,110,1.5,1.5030000000000001,53,3,11,12.432089436385391,64.88855672768914,23.92283698986694,102.16879675909665
5201,nominal,59,74,0.5,0.5070000000000001,16,1,5,7.035026717062847e-07,2.1867943047483634e-06,42.19825196795581,46.26205915061095
5201,nominal,59,93,1.0,1.0,35,2,10,2.6063620687300736e-06,1.7445237886648924e-05,140.17684552489274,478.5273685445129
5201,nominal,59,112,1.5,1.5190000000000001,54,3,11,15.227214502552526,55.7726254093922,19.68947205174772,83.87316714540593
5201,nominal,60,75,0.5,0.512,16,1,5,9.64266970442977e-07,2.7544705147876805e-06,40.58274601839372,59.83354265389218
5201,nominal,60,94,1.0,1.0060000000000007,35,2,10,2.9689819096478275e-06,1.5003318321523675e-05,127.77406294043618,442.9565197588305
5201,nominal,60,113,1.5,1.528,54,3,11,16.71933171491872,48.13281027032056,17.401743637158162,73.79769073035116
5201,nominal,61,76,0.5,0.512,16,1,5,1.2115550447649838e-06,2.2056025557050175e-06,38.48411739490799,69.95428384454613
5201,nominal,61,95,1.0,0.9999999999999996,35,2,10,3.164975896365983e-06,1.1967689524972276e-05,117.84773333850625,413.59706880592813
5201,nominal,61,114,1.5,1.5269999999999997,54,3,11,17.88991422542346,40.3649118922902,15.501937940808256,65.51054129806894
