transition_sequence,end_simulation_time_s,dt_s,collision_this_step,perturbation_phase,position_error_cm,planar_position_error_cm,velocity_error_cm_s,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s,spring_velocity_error_cm_s,spring_acceleration_error_cm_s2,intermediate_velocity_error_cm_s
66,3.085,0.028000000000000025,False,no_event,1.2982320640730904e-07,1.2982320640730904e-07,1.4066955600355868e-08,1.4066955600355868e-08,1.5857202419841574e-08,1.690212606320074e-06,1.4068149312151945e-08,2.3933916981633274e-07,0.0
67,3.109,0.02400000000000002,False,no_event,3.129707693005912e-08,3.129707693005912e-08,1.5755006188555853e-09,1.5755006188555853e-09,4.183640561347226e-08,1.7859567051914382e-06,1.5740511116746347e-09,2.315376379513623e-08,0.0
68,3.1350000000000002,0.026000000000000245,False,no_event,8.022891506698215e-08,8.022891506698215e-08,7.0641021920891944e-09,7.0641021920891944e-09,7.984968272207556e-08,3.589966325989735e-06,7.0629084802931175e-09,1.3014201627470356e-07,0.0
69,3.161,0.0259999999999998,False,no_event,8.031781817408046e-08,8.031781817408046e-08,4.418097887537442e-09,4.418097887537442e-09,7.112155367632848e-08,3.1978385095499107e-06,4.420115828907001e-09,8.179322286139268e-08,0.0
70,3.1870000000000003,0.026000000000000245,False,no_event,8.037352472456405e-08,8.037352472456405e-08,2.760941697488306e-09,2.760941697488306e-09,6.415672414598477e-08,2.8509176033253425e-06,2.759321660050773e-09,5.1256683231137856e-08,0.0
71,3.214,0.02699999999999969,False,no_event,1.0508028935873881e-07,1.0508028935873881e-07,1.6232206689892337e-09,1.6232206689892337e-09,6.7573046984875806e-09,2.4200916115546534e-07,1.6212879927479662e-09,2.886386679668007e-08,0.0
72,3.241,0.027000000000000135,False,no_event,1.050697164828307e-07,1.050697164828307e-07,9.91718707155087e-10,9.91718707155087e-10,6.651277727626313e-09,2.1400310856733995e-07,9.90240778264706e-10,1.7729333778859768e-08,0.0
73,3.27,0.028999999999999915,False,no_event,1.542269956189557e-07,1.542269956189557e-07,0.0,0.0,5.520979838259044e-08,2.522618778755259e-06,0.0,1.1892681978098452e-08,0.0
74,3.295,0.02499999999999991,False,no_event,0.03941581212689016,0.03941581212689016,1.5766346867249013,1.5766346867249013,0.07418250279383178,2.967299966734263,1.5766346867252707,106.1557738784266,17.50000037252906
75,3.322,0.027000000000000135,False,no_event,2.434717316646129e-08,2.434717316646129e-08,2.736573264883191e-06,2.736573264883191e-06,4.3117380372541055e-08,2.0013906087967825e-06,2.736572611183874e-06,7.2257158194588555e-06,7.003544340022927e-07
76,3.349,0.027000000000000135,False,no_event,9.667701306170784e-09,9.667701306170784e-09,3.6678018773272925e-06,3.6678018773272925e-06,4.095862341026323e-08,1.8907470220597133e-06,3.66780349736473e-06,1.65578011319667e-05,7.003544340022927e-07
77,3.3770000000000002,0.028000000000000025,False,no_event,6.695813681290019e-09,6.695813681290019e-09,3.631225609979083e-06,3.631225609979083e-06,3.962408811035859e-08,1.8400891015346588e-06,3.631227613709598e-06,1.4925451409908419e-05,8.642673208214546e-07
78,3.4050000000000002,0.028000000000000025,False,no_event,3.571005890989909e-08,3.571005890989909e-08,4.0154164935302106e-06,4.0154164935302106e-06,3.550944268560542e-08,1.6304354240048724e-06,4.015415342450979e-06,1.9918808447982883e-05,8.642673243741683e-07
79,3.432,0.02699999999999969,False,no_event,7.022379122645361e-08,7.022379122645361e-08,4.350451618506668e-06,4.350451618506668e-06,2.9301025391826083e-08,1.3306394297529778e-06,4.350451419554702e-06,3.76731481992465e-05,0.0
80,3.46,0.028000000000000025,False,no_event,3.198454123776173e-08,3.198454123776173e-08,2.618898463424557e-06,2.618898463424557e-06,2.6842253067555173e-08,1.2277207890321051e-06,2.6188977741981034e-06,2.7170112616659026e-05,0.0
81,3.488,0.028000000000000025,False,no_event,2.2478275241155643e-08,2.2478275241155643e-08,1.8103919856571338e-06,1.8103919856571338e-06,2.2717099090134443e-08,1.0462857726878383e-06,1.8103909908973037e-06,2.1808633846376324e-05,0.0
82,3.5140000000000002,0.026000000000000245,False,no_event,5.3638359531760216e-08,5.3638359531760216e-08,1.6019849589099522e-06,1.6019849589099522e-06,1.2434060471713472e-08,5.901074491276859e-07,1.6019844260029004e-06,2.5885124500746315e-05,0.0
83,3.541,0.02699999999999969,False,no_event,1.6215153664234094e-08,1.6215153664234094e-08,9.84432226402987e-07,9.84432226402987e-07,1.5506094627445453e-08,7.07790049681023e-07,9.844326989139063e-07,1.4110658554500333e-05,0.0
84,3.569,0.028000000000000025,False,no_event,6.8586132329073735e-09,6.8586132329073735e-09,5.383694059446498e-07,5.383694059446498e-07,1.3992125154631368e-08,6.369711593734451e-07,5.383686971782708e-07,7.917333931573012e-06,0.0
85,3.596,0.027000000000000135,False,no_event,6.78801370668225e-09,6.78801370668225e-09,4.104498412260682e-07,4.104498412260682e-07,1.0944085103416348e-08,4.991779976037947e-07,4.104505437751982e-07,6.352125510034057e-06,0.0
86,3.625,0.028999999999999915,False,no_event,4.430035005498212e-09,4.430035005498212e-09,2.870807054300428e-07,2.870807054300428e-07,6.854197116303686e-09,3.509214305807973e-07,2.87082417838036e-07,4.569334095094746e-06,0.0
