start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,collision_step_count,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
24,81,1.5,1.515,58,3,0,3.19071011745109e-06,4.730846441702852e-06,5.259679178293811,34.45849465680463
25,43,0.5,0.502,19,1,0,4.9780396693677176e-08,5.269785408046346e-08,0.0,0.0
25,62,1.0,1.0040000000000002,38,2,0,1.8645242789716576e-06,1.2232442259119125e-06,48.70703037449946,230.5867552358697
25,82,1.5,1.518,58,3,0,3.081621684941638e-06,8.420588429203235e-06,4.422949558222981,29.883200371009448
26,44,0.5,0.5019999999999998,19,1,0,1.3014891919738147e-07,1.9798034411877552e-07,0.0,0.0
26,63,1.0,1.004,38,2,0,2.046333406724443e-06,5.984343260934111e-07,43.40568683796541,203.89782709379273
26,83,1.5,1.5190000000000001,58,3,0,2.930594405370357e-06,1.0251568646424403e-05,3.7271593884653256,25.77000605944248
27,45,0.5,0.5010000000000001,19,1,0,2.3764732759445906e-07,2.773707215020238e-07,0.0,0.0
27,64,1.0,1.0040000000000002,38,2,0,2.2806062816016492e-06,5.433139449451119e-07,38.55518524625855,179.64820553393906
27,84,1.5,1.5210000000000001,58,3,0,2.791845645333524e-06,1.0100153033931747e-05,3.0955340780319935,21.78018281633664
28,47,0.5,0.5239999999999998,20,2,0,3.1487081741943257e-07,1.5125492729417545e-06,44.23653847291736,1075.8059439075882
28,65,1.0,1.0039999999999998,38,2,0,2.512616447347682e-06,4.461155640456127e-07,34.27659232137288,158.466403244439
28,85,1.5,1.5210000000000001,58,3,0,2.6883795953835943e-06,8.775235436075945e-06,2.595541100709178,18.518258250740125
29,47,0.5,0.4999999999999998,19,2,0,3.493152007649769e-07,1.5125492089929082e-06,44.23653847291736,1075.8059439075882
29,66,1.0,1.006,38,2,0,2.63313472714799e-06,2.3319503839047684e-07,30.621421889376954,140.58347730445843
29,86,1.5,1.5250000000000001,58,3,0,2.545459665270755e-06,6.8430181556777825e-06,2.159567499119979,15.570485594647
30,49,0.5,0.5240000000000002,20,2,0,4.6159425437508617e-07,8.677194536232946e-07,107.325138941199,1280.3903989541539
30,67,1.0,1.0050000000000001,38,2,0,2.781427838272066e-06,1.70062264714943e-07,27.486174783042138,125.4098838579057
30,87,1.5,1.5280000000000002,58,3,0,2.4928174298111117e-06,5.232675283295407e-06,1.7837496163016588,12.95923716185713
