start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,collision_step_count,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
54,90,1.0,1.008,37,2,0,3.42829476786662e-07,3.352519079019564e-06,4.0450442016590225e-07,3.557205943138797e-06
54,109,1.5,1.516,56,2,0,4.343418912204718e-06,2.478515041334064e-07,5.204032271808215e-06,1.344116202517398e-05
55,73,0.5,0.512,19,0,0,1.8367712755207322e-06,0.0,5.5539272805376365e-06,4.938232816442678e-06
55,91,1.0,1.0070000000000001,37,2,0,3.6054826237795524e-07,4.76417341120879e-06,2.5065277167021506e-07,1.6634004396109958e-07
55,110,1.5,1.516,56,2,0,4.486232551466062e-06,1.6481349437478362e-07,5.542157192661226e-06,1.3654968689991165e-05
56,74,0.5,0.5109999999999997,19,1,0,1.990419605135685e-06,5.721273055314668e-07,4.494836641712034e-06,9.52067754766972e-06
56,92,1.0,1.008,37,2,0,5.331061578530435e-07,6.489248233072556e-06,1.307088639669857e-07,8.439351972810982e-08
56,111,1.5,1.5159999999999996,56,2,0,4.561432350325973e-06,9.627473836076225e-08,5.836719608152916e-06,1.2327166587056126e-05
57,75,0.5,0.5110000000000001,19,1,0,1.7874201603262918e-06,3.350513139821487e-06,4.1005343722978936e-06,1.2361887815615091e-05
57,93,1.0,1.0090000000000003,37,2,0,8.167671823041481e-07,7.4949163883232165e-06,1.2546929451805504e-07,3.7095368838890863e-06
57,112,1.5,1.5200000000000005,56,2,0,4.759128374289387e-06,5.3836831554520895e-08,6.10215183220583e-06,1.0623391894171164e-05
58,76,0.5,0.512,19,1,0,1.7038870510077686e-06,6.6682646746585306e-06,3.2150959378596473e-06,1.0674550491529544e-05
58,94,1.0,1.0099999999999998,37,2,0,1.084652095074603e-06,8.844814160419823e-06,1.035833634217181e-07,3.0843790739254473e-06
58,113,1.5,1.5219999999999998,56,2,0,4.880560305336859e-06,3.523885671043203e-08,6.225185178060008e-06,5.7151922092657514e-06
59,77,0.5,0.512,19,1,0,1.3742019291385077e-06,9.240360583362417e-06,2.7575653863776976e-06,9.931597944046189e-06
59,95,1.0,1.0109999999999997,37,2,0,1.4808143030145865e-06,1.0146484746695877e-05,5.25412646604114e-07,1.9373597609728677e-05
59,114,1.5,1.5229999999999997,56,2,0,5.035630273971101e-06,2.291244566738737e-08,6.332934279336883e-06,5.108478845272657e-06
60,78,0.5,0.5140000000000002,19,1,0,1.0806464842971764e-06,1.1665056533161078e-05,2.143453379928054e-06,7.533177644347688e-06
60,96,1.0,1.0100000000000002,37,2,0,1.7498730820433329e-06,9.451351104778502e-06,1.061591877915981e-06,2.3194089521894057e-05
60,115,1.5,1.5270000000000001,56,2,0,5.205984639201652e-06,1.3860955050463215e-08,6.3482061579175855e-06,1.953674022558971e-06
61,79,0.5,0.512,19,1,0,5.858836402694578e-07,1.362584708886061e-05,1.599498099531008e-06,5.087701143935419e-06
