start_transition_sequence,end_transition_sequence,requested_horizon_s,actual_horizon_s,step_count,action_change_count,collision_step_count,external_perturbation_step_count,perturbation_relation,planar_position_error_cm,planar_velocity_error_cm_s,yaw_error_deg,angular_velocity_yaw_error_deg_s
50,68,0.5,0.5059999999999998,19,0,0,0,no_event,2.1431156937978812e-06,1.1267763966316124e-07,7.519709438366752,19.68000329856426
50,87,1.0,1.004,38,1,0,0,no_event,14.110015440985649,77.24840005653738,0.7362513909694707,5.3098802940722925
50,106,1.5,1.5059999999999998,57,2,0,0,no_event,29.77518701696825,8.025437817525347,26.836081944616634,46.89632170297958
51,69,0.5,0.508,19,0,0,0,no_event,2.1151378177819424e-06,8.511605642524955e-08,4.779321914627779,9.647645806267803
51,88,1.0,1.005,38,1,0,0,no_event,16.011846031520577,73.14732534338474,0.4277211698737512,3.4142628894571714
51,107,1.5,1.505,57,2,0,0,no_event,29.938888461738635,6.864872407973792,20.87839871600596,32.082288948699144
52,70,0.5,0.5070000000000001,19,0,0,0,no_event,2.008630076488771e-06,5.688829673999862e-08,1.657380190944239,1.4652718074650863
52,89,1.0,1.008,38,1,0,0,no_event,17.897694779549965,67.35173616257858,0.10088239658318045,0.8304676800427293
52,108,1.5,1.508,57,2,0,0,no_event,30.097847119201184,5.693073510318247,11.675616618755061,13.484503705506555
53,71,0.5,0.5090000000000003,19,0,0,0,no_event,1.973090661522292e-06,4.0986662952491315e-08,0.2827816832914747,0.16513448346275794
53,90,1.0,1.0130000000000003,38,1,0,0,no_event,19.69878468353886,60.03632551352909,0.48897822311728456,0.6953162057409039
53,109,1.5,1.512,57,2,0,0,no_event,30.23305631273779,4.666811263114678,4.260603464477247,3.8388594170500596
54,72,0.5,0.5100000000000002,19,0,0,0,no_event,1.910894638967875e-06,2.156417622245499e-08,9.3275631485639e-06,1.2880620275268484e-05
54,91,1.0,1.0140000000000002,38,1,0,0,no_event,21.082410816770334,53.21638426540439,0.6159337762749909,1.1557430676309828
54,110,1.5,1.5160000000000005,57,2,0,0,no_event,30.3435460258187,3.8106998755199983,0.15894136750670798,0.5668570876313908
55,73,0.5,0.5059999999999998,19,0,0,0,no_event,1.5619475561834406e-06,1.3551868960348656e-08,7.3912859099211385e-06,8.387375000751263e-06
55,92,1.0,1.013,38,2,0,0,no_event,22.37207406677857,46.06054649287651,0.5948448055083805,0.7531900654427375
55,111,1.5,1.512,57,2,0,0,no_event,30.42342938740715,3.1953342236360536,0.1458104901325478,0.525237830210088
56,74,0.5,0.5049999999999999,19,0,0,0,no_event,1.8032338857665309e-06,9.774623777047964e-09,6.059448127497379e-06,5.557979520176559e-06
